name,school_type,address,campus_kind
원광여자고등학교,일반고등학교,전북특별자치도 익산시 선화로13길 72,-
원광보건고등학교,특성화고등학교,전북특별자치도 익산시 선화로13길 72,-
위도고등학교,일반고등학교,전북특별자치도 부안군 위도면 위도로 245,-
유일여자고등학교,일반고등학교,전북특별자치도 전주시 덕진구 안덕원로 301,-
이리고등학교,일반고등학교,전북특별자치도 익산시 익산대로36길 35,-
이리공업고등학교,특성화고등학교,전북특별자치도 익산시 동서로14길 30-2,-
이리남성여자고등학교,일반고등학교,전북특별자치도 익산시 동서로35길 41,-
이리여자고등학교,일반고등학교,전북특별자치도 익산시 익산대로24길 8-5,-
이일여자고등학교,일반고등학교,전북특별자치도 익산시 평동로7길 30,-
익산고등학교,일반고등학교,전북특별자치도 익산시 금마면 고도길 85,-
인상고등학교,일반고등학교,전북특별자치도 정읍시 신태인읍 벽골제로 34,-
인월고등학교,일반고등학교,전북특별자치도 남원시 인월면 인월장터로 48,-
임실고등학교,일반고등학교,전북특별자치도 임실군 임실읍 봉황로 257,-
한국치즈과학고등학교,특성화고등학교,전북특별자치도 임실군 강진면 갈담3길 48,-
전북유니텍고등학교,특성화고등학교,전북특별자치도 장수군 장계면 장계7길 3,-
장수고등학교,일반고등학교,전북특별자치도 장수군 장수읍 장천로 254-16,-
전라고등학교,일반고등학교,전북특별자치도 전주시 덕진구 솔내7길 25,-
전북과학고등학교,특수목적고등학교,전북특별자치도 익산시 금마면 용순신기길 48-69,-
전북제일고등학교,일반고등학교,전북특별자치도 익산시 학곤로 19,-
전북체육고등학교,특수목적고등학교,전북특별자치도 완주군 소양면 원암로 46,-
전일고등학교,일반고등학교,전북특별자치도 전주시 완산구 우전로 249,-
전주고등학교,일반고등학교,전북특별자치도 전주시 완산구 권삼득로 2,-
전주공업고등학교,특성화고등학교,전북특별자치도 전주시 덕진구 여산로 101,-
전주근영여자고등학교,일반고등학교,전북특별자치도 전주시 완산구 영경1길 11,-
전주기전여자고등학교,일반고등학교,전북특별자치도 전주시 완산구 유연로 133,-
전주생명과학고등학교,특성화고등학교,전북특별자치도 전주시 덕진구 안덕원로 195,-
전주성심여자고등학교,일반고등학교,전북특별자치도 전주시 완산구 경기전길 130,-
전주신흥고등학교,일반고등학교,전북특별자치도 전주시 완산구 서원로 399,-
전주여자고등학교,일반고등학교,전북특별자치도 전주시 덕진구 모래내6길 14,-
전주여자상업고등학교,특성화고등학교,전북특별자치도 전주시 완산구 따박골2길 21,-
전주영생고등학교,일반고등학교,전북특별자치도 전주시 완산구 천잠로 333,-
전주예술고등학교,일반고등학교,전북특별자치도 완주군 구이면 신전길 120,-
전주중앙여자고등학교,일반고등학교,전북특별자치도 전주시 덕진구 석소로 25,-
전주한일고등학교,일반고등학교,전북특별자치도 전주시 완산구 백제대로 442,-
전주해성고등학교,일반고등학교,전북특별자치도 전주시 완산구 계룡산길 88,-
